"Title"	"Artist"	"Time"	"Date"	"Album"	"Composers"	"url"	"spotify_id"	"spotify_uri"
"But Beautiful"	"Kenny Dorham"	"10:29pm"	2016-06-18	"Eight Classic Albums"	" Johnny Burke, Jimmy Van Heusen"	"https://open.spotify.com/track/7bqMLSioqwy4ebrXfnUK6R"	"7bqMLSioqwy4ebrXfnUK6R"	"spotify:track:7bqMLSioqwy4ebrXfnUK6R"
"Come Try My Love"	"Dee Daniels"	"10:33pm"	2016-06-18	"Intimate Conversations"	" Dee Daniels"	"https://open.spotify.com/track/1fHbLuniXkfXWrRdfBFFun"	"1fHbLuniXkfXWrRdfBFFun"	"spotify:track:1fHbLuniXkfXWrRdfBFFun"
"Linger"	"Mike Janzen"	"10:37pm"	2016-06-18	"Metronome"	" Mike Janzen"	"https://open.spotify.com/track/32WnNaElTq97qXZP1cjqRs"	"32WnNaElTq97qXZP1cjqRs"	"spotify:track:32WnNaElTq97qXZP1cjqRs"
"Water Under Bridges"	"Gregory Porter"	"10:44pm"	2016-06-18	"Liquid Spirit"	" Gregory Porter"	"https://open.spotify.com/track/5dqw2wgtALPTVwaFdL8Qjl"	"5dqw2wgtALPTVwaFdL8Qjl"	"spotify:track:5dqw2wgtALPTVwaFdL8Qjl"
"Freddie Freeloader"	"Guido Basso"	"10:47pm"	2016-06-18	"Changing Partners"	" Miles Davis"	NA	NA	NA
"Hard Times Come Again No More"	"Reg Schwager, David Restivo"	"10:52pm"	2016-06-18	"Arctic Passage"	" Stephen Foster"	NA	NA	NA
"Magic Summertime"	"Benji Hughes"	"11:03pm"	2016-06-18	"Magic Summertime (Single)"	" Eleni Mandell"	"https://open.spotify.com/track/0CJpoKYIgPFPSRizfrSzLu"	"0CJpoKYIgPFPSRizfrSzLu"	"spotify:track:0CJpoKYIgPFPSRizfrSzLu"
"It's Alright Now"	"Bombay Bicycle Club"	"11:07pm"	2016-06-18	"It's Alright Now (Single)"	" Jack Steadman"	"https://open.spotify.com/track/0010mZpCCwlPwoBiBsjoac"	"0010mZpCCwlPwoBiBsjoac"	"spotify:track:0010mZpCCwlPwoBiBsjoac"
"Ritual Spirit"	"Massive Attack"	"11:13pm"	2016-06-18	"Ritual Spirit E.P."	" Robert Del Naja,Azekel, Euan Dickinson"	"https://open.spotify.com/track/2bdqg8MhsCw9yy4DBFxSjd"	"2bdqg8MhsCw9yy4DBFxSjd"	"spotify:track:2bdqg8MhsCw9yy4DBFxSjd"
"Silhouette"	"Julia Holter"	"11:17pm"	2016-06-18	"Have You In My Wilderness"	" Julia Holter"	"https://open.spotify.com/track/4riNlzZh1Xd4xqbIWy7zfM"	"4riNlzZh1Xd4xqbIWy7zfM"	"spotify:track:4riNlzZh1Xd4xqbIWy7zfM"
"Little Life"	"Pony Girl"	"11:22pm"	2016-06-18	"Foreign Life"	" Pascal Huot, Julien Dussault, Michel Cousineau, Jeff Kingsbury, Greggory Clark, Yolande Laroche"	"https://open.spotify.com/track/53jfbHewLZdYdwO5jf3BCa"	"53jfbHewLZdYdwO5jf3BCa"	"spotify:track:53jfbHewLZdYdwO5jf3BCa"
"In The Forest"	"The Besnard Lakes"	"11:26pm"	2016-06-18	"The Golden Lion Ep"	" Jace Lasek, Olga Goreas, Sheena Ko, Kevin Laing, Robbie Macarthur"	"https://open.spotify.com/track/11KsZv1L1fiq8u0fzsgLn9"	"11KsZv1L1fiq8u0fzsgLn9"	"spotify:track:11KsZv1L1fiq8u0fzsgLn9"
"Lionsong"	"Bjork, Arca"	"11:32pm"	2016-06-18	"Vulnicura"	"Bjork"	"https://open.spotify.com/track/2hJgYSiWBbvk3zDOnYz2Cn"	"2hJgYSiWBbvk3zDOnYz2Cn"	"spotify:track:2hJgYSiWBbvk3zDOnYz2Cn"
"Another"	"Seekae"	"11:38pm"	2016-06-18	"Another (Single)"	" George Nicholas, John Hassel, Alex Cameron"	"https://open.spotify.com/track/5SrIdxlG4uGnabC6ouoSlr"	"5SrIdxlG4uGnabC6ouoSlr"	"spotify:track:5SrIdxlG4uGnabC6ouoSlr"
"Knowledge Drifts"	"Slight Birching"	"11:43pm"	2016-06-18	"Cultural Envelope"	"Slight Birching"	NA	NA	NA
"Saint Nothing"	"Qristina & Quinn Bachand"	"11:47pm"	2016-06-18	"Little Hinges"	" Daniel Rossen"	"https://open.spotify.com/track/49YXZpZPH5hRsVwnc9pp6a"	"49YXZpZPH5hRsVwnc9pp6a"	"spotify:track:49YXZpZPH5hRsVwnc9pp6a"
"Only"	"Boots"	"11:52pm"	2016-06-18	"Only (Single)"	"Boots"	"https://open.spotify.com/track/0eqm78Kajg8j9RSxhRumUA"	"0eqm78Kajg8j9RSxhRumUA"	"spotify:track:0eqm78Kajg8j9RSxhRumUA"
"Myth Me"	"Gonzales, Kaiser Quartett"	"11:56pm"	2016-06-18	"Chambers"	"Gonzales"	"https://open.spotify.com/track/7kJOQD7eXsOIwFjgNqkQgv"	"7kJOQD7eXsOIwFjgNqkQgv"	"spotify:track:7kJOQD7eXsOIwFjgNqkQgv"
"Tunnel To The Reservoir"	"Twin Within"	"10pm"	2016-06-20	"Horizontal Lines"	" Alex Samaras, Steve Mckay"	"https://open.spotify.com/track/6cCb3HQKE3jQQUyGMpaUH0"	"6cCb3HQKE3jQQUyGMpaUH0"	"spotify:track:6cCb3HQKE3jQQUyGMpaUH0"
"Ingenue"	"Death Cab For Cutie"	"10:04pm"	2016-06-20	"Kintsugi"	" Christopher Walla, Jason Mcgerr, Ben Gibbard, Nicholas Harmer"	"https://open.spotify.com/track/1Uftj6YKkAnAljsss5OINa"	"1Uftj6YKkAnAljsss5OINa"	"spotify:track:1Uftj6YKkAnAljsss5OINa"
"True Affection"	"Father John Misty"	"10:08pm"	2016-06-20	"I Love You, Honeybear"	" Josh Tillman"	"https://open.spotify.com/track/4qG7NaN5VGPE2HPFKFHKCs"	"4qG7NaN5VGPE2HPFKFHKCs"	"spotify:track:4qG7NaN5VGPE2HPFKFHKCs"
"Turn Your Love"	"Half Moon Run"	"10:12pm"	2016-06-20	"Sun Leads Me On"	" Devon Portielje, Isaac Symonds, Conner Molander, Dylan Phillips"	"https://open.spotify.com/track/6NfJJp412N12oe8f31dCUL"	"6NfJJp412N12oe8f31dCUL"	"spotify:track:6NfJJp412N12oe8f31dCUL"
"Animal, Master"	"Hilotrons"	"10:15pm"	2016-06-20	"To Trip With Terpsichore"	" Mike Dubue"	"https://open.spotify.com/track/4iUeUsVw7r3CURDm4k0mJh"	"4iUeUsVw7r3CURDm4k0mJh"	"spotify:track:4iUeUsVw7r3CURDm4k0mJh"
"Places You Will Go"	"Patrick Watson"	"10:20pm"	2016-06-20	"Love Songs For Robots"	" Patrick Watson"	"https://open.spotify.com/track/36RioXoESDmMsM2Bwn0NMR"	"36RioXoESDmMsM2Bwn0NMR"	"spotify:track:36RioXoESDmMsM2Bwn0NMR"
"Little Love Songs"	"Jodi Doidge"	"10:24pm"	2016-06-20	"Little Love Songs (Familiar Wild Rexmix) (Single)"	" Jodi Doidge"	NA	NA	NA
"Lanterns Lit"	"Son Lux"	"10:27pm"	2016-06-20	"Lanterns"	"Son Lux"	"https://open.spotify.com/track/52o4jxHlDtjn1GdwkpzgtG"	"52o4jxHlDtjn1GdwkpzgtG"	"spotify:track:52o4jxHlDtjn1GdwkpzgtG"
"The Wolf"	"Georgian Bay"	"10:31pm"	2016-06-20	"Patience"	" Joelle Westman, Kelly Lefaive"	NA	NA	NA
